"player","team","posQB","posRB","posTE","posWR","year","lag_ppg","lag_age","lag_starts","lag_rk_ovr","lag_pass_comp","lag_pass_att","lag_pass_yds","lag_pass_td","lag_pass_int","lag_rush_att","lag_rush_yds","lag_y_a","lag_rush_td","lag_rec_tgt","lag_rec_rec","lag_rec_yds","lag_y_r","lag_rec_td","lag_fumb_times","lag_fumb_fl","lag_score_tds","lag_score_2pm","lag_score_2pp","lag_rk_vbd","lag_rk_pos","lag_rk_probowl","lag_rk_allpro"
"Chase Claypool","2TM",0,0,0,1,2023,1.5,25,2,371,0,0,0,0,0,0,0,0,0,21,8,77,9.63,1,0,0,1,0,0,0,152,0,0
"Jeff Driskel","CLE",1,0,0,0,2023,14,30,1,372,13,26,166,2,2,7,33,4.71,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
"Xavier Hutchinson","HOU",0,0,0,1,2023,1.125,23,0,373,0,0,0,0,0,5,49,9.8,0,19,8,90,11.25,0,0,0,0,0,0,0,150,0,0
"Charlie Jones","CIN",0,0,0,1,2023,1.59090909090909,25,0,374,0,0,0,0,0,2,13,6.5,0,9,7,64,9.14,0,0,0,1,0,0,0,153,0,0
"Terrace Marshall Jr.","CAR",0,0,0,1,2023,2.61111111111111,23,4,375,0,0,0,0,0,0,0,0,0,33,19,139,7.32,0,1,0,0,0,0,0,151,0,0
"Byron Pringle","WAS",0,0,0,1,2023,1.23529411764706,30,1,376,0,0,0,0,0,0,0,0,0,22,14,161,11.5,0,1,1,0,0,0,0,149,0,0
"Ben Skowronek","LAR",0,0,0,1,2023,1.05882352941176,26,0,377,0,0,0,0,0,2,9,4.5,0,12,8,66,8.25,1,0,0,1,0,0,0,154,0,0
"Tyquan Thornton","NWE",0,0,0,1,2023,2.27777777777778,23,3,378,0,0,0,0,0,3,51,17,0,23,13,91,7,0,0,0,0,0,0,0,148,0,0
"Jordan Akins","CLE",0,0,1,0,2023,1.20588235294118,31,4,379,0,0,0,0,0,0,0,0,0,23,15,132,8.8,0,0,0,0,0,0,0,72,0,0
"Isaiah Spiller","LAC",0,1,0,0,2023,1.77777777777778,22,0,380,0,0,0,0,0,37,96,2.59,0,6,6,34,5.67,0,0,0,0,0,0,0,94,0,0
"Stephen Sullivan","CAR",0,0,1,0,2023,1.72727272727273,27,0,381,0,0,0,0,0,0,0,0,0,24,12,125,10.42,0,0,0,0,0,0,0,73,0,0
"Lynn Bowden Jr.","NOR",0,0,0,1,2023,1.16666666666667,26,3,382,0,0,0,0,0,5,32,6.4,0,16,11,83,7.55,0,1,0,0,0,0,0,158,0,0
"Jason Brownlee","NYJ",0,0,0,1,2023,2.07142857142857,24,5,383,0,0,0,0,0,0,0,0,0,8,5,56,11.2,1,0,0,1,0,0,0,156,0,0
"Randall Cobb","NYJ",0,0,0,1,2023,1.31818181818182,33,1,384,0,0,0,0,0,0,0,0,0,17,5,39,7.8,1,0,0,1,1,0,0,155,0,0
"Tyler Goodson","IND",0,1,0,0,2023,2.5,23,1,385,0,0,0,0,0,13,87,6.69,0,9,6,34,5.67,0,0,0,0,0,0,0,95,0,0
"Alec Ingold","MIA",0,1,0,0,2023,1.08823529411765,27,13,386,0,0,0,0,0,2,0,0,0,16,13,119,9.15,0,0,0,0,0,0,0,96,1,0
